,title,label
0,You Can Smell Hillary’s Fear,['REAL']
1,Watch The Exact Moment Paul Ryan Committed Political Suicide At A Trump Rally (VIDEO),['FAKE']
2,Kerry to go to Paris in gesture of sympathy,['REAL']
3,Bernie supporters on Twitter erupt in anger against the DNC: 'We tried to warn you!',['FAKE']
4,The Battle of New York: Why This Primary Matters,['REAL']
5,"Tehran, USA",['REAL']
6,Girl Horrified At What She Watches Boyfriend Do After He Left FaceTime On,['FAKE']
7,‘Britain’s Schindler’ Dies at 106,['REAL']
8,Fact check: Trump and Clinton at the 'commander-in-chief' forum,['FAKE']
9,Iran reportedly makes new push for uranium concessions in nuclear talks,['FAKE']
10,"With all three Clintons in Iowa, a glimpse at the fire that has eluded Hillary Clinton’s campaign",['REAL']
11,Donald Trump’s Shockingly Weak Delegate Game Somehow Got Even Worse,['REAL']
12,"Strong Solar Storm, Tech Risks Today | S0 News Oct.26.2016 [VIDEO]",['REAL']
13,10 Ways America Is Preparing for World War 3,['REAL']
14,"Trump takes on Cruz, but lightly",['REAL']
15,How women lead differently,['REAL']
16,Shocking! Michele Obama & Hillary Caught Glamorizing Date Rape Promoters,['REAL']
17,Hillary Clinton in HUGE Trouble After America Noticed SICK Thing Hidden in this Picture... * LIBERTY WRITERS NEWS,['FAKE']
18,What's in that Iran bill that Obama doesn't like?,['FAKE']
19,The 1 chart that explains everything you need to know about partisanship in America,['REAL']
20,The slippery slope to Trump’s proposed ban on Muslims,['FAKE']
21,Episode #160 – SUNDAY WIRE: ‘Hail to the Deplorables’ with special guest Randy J,['REAL']
22,Hillary Clinton Makes A Bipartisan Appeal on Staten Island,['REAL']
23,New Senate majority leader’s main goal for GOP: Don’t be scary,['REAL']
24,‘Inferno’ and the Overpopulation Myth,['REAL']
25,Anti-Trump forces seek last-ditch delegate revolt,['REAL']
26,Sanders Trounces Clinton in W. Va. -- But Will It Make a Difference?,['REAL']
27,Donald Trump Is Changing His Campaign Slogan to Prove He’s Not Racist,['FAKE']
28,Pure chaos: Donald Trump’s campaign management offers a glimpse into his governing style (spoiler alert: it’s terrible),['REAL']
29,"Syrian War Report – November 1, 2016: Syrian Military Deploys Advanced T-90 Battle Tanks to Aleppo",['REAL']
30,GOP insiders: Carly crushed it,['REAL']
31,Jeffrey Sewell et al. : Metabiology face to face with Artificial Intelligence [VIDEO],['FAKE']
32,Why It’s Necessary To Relax Into A Stretch,['REAL']
